phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int
HC303,DQB1_402-DRB1_701,-0.671244,0.170168,-3.945,7.99E-05,0.156081,0.041874,3.727,0.000193,-0.175035,0.444098,-0.394,0.693481,0.000876911,0.002855421,1
HC303,C_102-DQA1_401,-0.429446,0.107421,-3.998,6.39E-05,-0.609256,0.159079,-3.83,0.000128,-0.605763,0.72242,-0.839,0.401739,0.000703647,0.001956377,1
HC303,C_102-DPB1_901,-0.492843,0.108596,-4.538,5.67E-06,0.890734,0.236909,3.76,0.00017,0.72618,0.634544,1.144,0.25245,6.56E-05,0.002539897,1
HC303,C_102-B_5101,-0.469337,0.11634,-4.034,5.48E-05,-0.431605,0.111354,-3.876,0.000106,0.257433,0.29494,0.873,0.382755,0.000604627,0.001646111,1
HC303,C_102-DQA1_201,-0.379705,0.115824,-3.278,0.00104,0.168474,0.042176,3.995,6.48E-05,-0.339719,0.275428,-1.233,0.21742,0.011069049,0.001052281,1
HC303,C_102-B_3701,-0.465473,0.106252,-4.381,1.18E-05,-0.820092,0.204946,-4.002,6.29E-05,-9.194094,81.839624,-0.112,0.9106,0.000134378,0.001026175,1
HC303,C_102-DRB1_701,-0.382173,0.115816,-3.3,0.000967,0.166301,0.042168,3.944,8.02E-05,-0.337401,0.275436,-1.225,0.220586,0.010297943,0.001276158,1
HC303,DQA1_401-DPB1_901,-0.659691,0.155286,-4.248,2.15E-05,0.949727,0.219869,4.32,1.56E-05,-8.842087,102.586081,-0.086,0.9313,0.000241535,0.000297758,1
HC303,DQA1_401-B_5101,-0.656746,0.160959,-4.08,4.50E-05,-0.434307,0.105101,-4.132,3.59E-05,0.039712,0.59805,0.066,0.9471,0.000497968,0.000622875,1
HC303,DQA1_401-DQA1_201,-0.670183,0.172613,-3.883,0.000103,0.157002,0.041906,3.747,0.000179,0.136651,0.395507,0.346,0.729712,0.001126912,0.002664084,1
HC303,DQA1_401-B_3701,-0.764946,0.164799,-4.642,3.46E-06,-1.002275,0.227125,-4.413,1.02E-05,1.959559,0.490705,3.993,6.51E-05,4.05E-05,0.000204635,0.019039762
HC303,DQA1_401-DRB1_701,-0.64299,0.170162,-3.779,0.000158,0.156787,0.041873,3.744,0.000181,-0.02855,0.416456,-0.069,0.945344,0.001718283,0.002692067,1
HC303,DPB1_901-B_5101,0.935852,0.224976,4.16,3.19E-05,-0.438047,0.104048,-4.21,2.55E-05,0.158157,1.012801,0.156,0.8759,0.000355491,0.000460058,1
HC303,DPB1_901-DQA1_201,0.868361,0.259813,3.342,0.000831,0.163093,0.042003,3.883,0.000103,0.312502,0.421506,0.741,0.458454,0.008857187,0.001603292,1
HC303,DPB1_901-B_3701,0.949517,0.21986,4.319,1.57E-05,-0.80868,0.204919,-3.946,7.94E-05,-8.672083,116.404254,-0.074,0.9406,0.000177639,0.001265221,1
HC303,DPB1_901-DRB1_701,0.865409,0.259772,3.331,0.000864,0.161069,0.041994,3.836,0.000125,0.317682,0.421284,0.754,0.450801,0.009206295,0.001912607,1
HC303,B_5101-DQA1_201,-0.495069,0.120829,-4.097,4.18E-05,0.151983,0.04257,3.57,0.000357,0.250539,0.205985,1.216,0.223871,0.000463378,0.005084207,1
HC303,B_5101-B_3701,-0.444465,0.103519,-4.294,1.76E-05,-0.820391,0.20495,-4.003,6.26E-05,-9.247337,84.252994,-0.11,0.9126,0.000198516,0.001022618,1
HC303,B_5101-DRB1_701,-0.49796,0.120855,-4.12,3.78E-05,0.149666,0.042562,3.516,0.000437,0.257713,0.206285,1.249,0.211554,0.000419865,0.006144825,1
HC303,DQA1_201-B_3701,0.159715,0.041975,3.805,0.000142,-0.997326,0.253603,-3.933,8.40E-05,0.528145,0.359442,1.469,0.141739,0.001546676,0.001331719,1
HC303,DQA1_201-DRB1_701,0.737734,0.345305,2.136,0.0326,0.546142,0.351948,1.552,0.1207,-0.935074,0.144686,-6.463,1.03E-10,0.336481002,1,1.06E-07
HC303,B_3701-DRB1_701,-0.998521,0.253587,-3.938,8.23E-05,0.158038,0.041966,3.766,0.000166,0.525931,0.35939,1.463,0.143358,0.000902722,0.002484763,1
1037,DQA1_301-DRB4_9901,0.105192,0.043447,2.421,0.0155,-0.042724,0.030793,-1.387,0.1653,0.008808,0.041588,0.212,0.8323,0.161048966,1,1
1037,DQA1_301-DRB4_103,0.116875,0.060757,1.924,0.0544,0.017949,0.04173,0.43,0.6671,0.010304,0.041388,0.249,0.8034,0.558410583,1,1
1037,DQA1_301-DQB1_501,0.125486,0.02633,4.766,1.88E-06,-0.117441,0.037846,-3.103,0.00191,-0.031737,0.07862,-0.404,0.68645,2.23E-05,0.024787244,1
1037,DQA1_301-DRB1_401,0.145649,0.036657,3.973,7.09E-05,0.149911,0.090261,1.661,0.0967,-0.110822,0.065994,-1.679,0.0931,0.000779506,1,1
1037,DQA1_301-DQA1_101,0.123141,0.02674,4.605,4.12E-06,-0.094164,0.035044,-2.687,0.00721,-0.012465,0.071837,-0.174,0.86225,4.80E-05,0.08859329,1
1037,DQA1_301-DRB1_101,0.133146,0.02593,5.135,2.82E-07,-0.10485,0.042888,-2.445,0.0145,-0.08423,0.091295,-0.923,0.3562,3.52E-06,0.173462931,1
1037,DRB4_9901-DRB4_103,-0.036994,0.03908,-0.947,0.3438,0.091979,0.047398,1.941,0.0523,-0.017067,0.038189,-0.447,0.6549,1,0.600953837,1
1037,DRB4_9901-DQB1_501,-0.086367,0.023216,-3.72,0.000199,-0.096907,0.112769,-0.859,0.390151,-0.011015,0.066093,-0.167,0.867642,0.002155193,1,1
1037,DRB4_9901-DRB1_401,-0.079383,0.025801,-3.077,0.00209,0.078197,0.052912,1.478,0.13944,0.004696,0.059268,0.079,0.93685,0.022131274,1,1
1037,DRB4_9901-DQA1_101,-0.085734,0.023636,-3.627,0.000287,-0.060749,0.10307,-0.589,0.555596,-0.018505,0.060421,-0.306,0.759393,0.003094516,1,1
1037,DRB4_9901-DRB1_101,-0.09411,0.022815,-4.125,3.71E-05,-0.152347,0.125565,-1.213,0.225,0.020755,0.074072,0.28,0.7793,0.000412212,1,1
1037,DRB4_103-DQB1_501,0.098525,0.025424,3.875,0.000106,-0.124343,0.039594,-3.14,0.001687,0.018196,0.073535,0.247,0.804559,0.001158493,0.022030705,1
1037,DRB4_103-DRB1_401,0.0898319,0.0313368,2.867,0.00415,0.1590653,0.0846118,1.88,0.06012,-0.0623472,0.0615774,-1.013,0.3113,0.043648562,0.687923945,1
1037,DRB4_103-DQA1_101,0.097796,0.025831,3.786,0.000153,-0.097511,0.036654,-2.66,0.007808,0.015351,0.067491,0.227,0.820072,0.001665035,0.095606521,1
1037,DRB4_103-DRB1_101,0.109366,0.025026,4.37,1.24E-05,-0.106151,0.044957,-2.361,0.0182,-0.062267,0.082922,-0.751,0.4527,0.000141054,0.215863408,1
1037,DQB1_501-DRB1_401,-0.126881,0.035591,-3.565,0.000364,0.130094,0.033919,3.835,0.000125,-0.083386,0.1045,-0.798,0.424898,0.003912731,0.001912607,1
1037,DQB1_501-DQA1_101,-0.147257,0.109247,-1.348,0.1777,-0.012868,0.069548,-0.185,0.8532,0.004732,0.071914,0.066,0.9475,1,1,1
1037,DQB1_501-DRB1_101,-0.182999,0.066658,-2.745,0.00604,-0.009229,0.11466,-0.08,0.93585,0.025214,0.086685,0.291,0.77116,0.06333134,1,1
1037,DRB1_401-DQA1_101,0.123161,0.034463,3.574,0.000352,-0.106978,0.032964,-3.245,0.001173,-0.021506,0.094403,-0.228,0.819791,0.003785189,0.015558947,1
1037,DRB1_401-DRB1_101,0.139469,0.033402,4.175,2.97E-05,-0.115285,0.040363,-2.856,0.00429,-0.171236,0.123378,-1.388,0.16517,0.000331434,0.053808633,1
1037,DQA1_101-DRB1_101,-0.098828,0.049842,-1.983,0.0474,-0.011897,0.1098,-0.108,0.9137,-0.04104,0.086646,-0.474,0.6358,0.487313462,1,1
HC169,B_3906-DQA1_101,0.911526,0.197557,4.614,3.95E-06,-0.281025,0.070824,-3.968,7.25E-05,-0.526224,0.473826,-1.111,0.2667,4.61E-05,0.001165357,1
HC201,DRB1_103-DRB4_9901,1.169956,0.228436,5.122,3.03E-07,0.202682,0.028842,7.027,2.11E-12,-0.121673,0.131389,-0.926,0.3544,3.78E-06,1.73E-10,1
HC201,DRB1_103-DQA1_301,0.963767,0.069099,13.948,2.00E-16,-0.244602,0.035466,-6.897,5.32E-12,0.121036,0.161188,0.751,0.4527,4.06E-15,4.04E-10,1
HC201,DRB1_103-DQB1_302,0.990631,0.065387,15.15,2.00E-16,-0.324597,0.049283,-6.586,4.51E-11,0.236463,0.21023,1.125,0.2607,4.06E-15,2.89E-09,1
HC201,DRB1_103-DRB4_103,9.63E-01,7.17E-02,13.425,2.00E-16,-1.93E-01,3.27E-02,-5.912,3.37E-09,1.53E-02,1.53E-01,0.1,0.9202,4.06E-15,1.52E-07,1
HC201,DRB1_103-DQA1_101,0.985383,0.114159,8.632,2.00E-16,0.103572,0.037737,2.745,0.00606,-0.007573,0.104711,-0.072,0.94235,4.06E-15,0.07502074,1
HC201,DRB1_103-DRB1_404,1.016546,0.063171,16.092,2.00E-16,-0.513147,0.087354,-5.874,4.25E-09,0.202129,0.372324,0.543,0.5872,4.06E-15,1.89E-07,1
HC201,DRB1_103-DQB1_501,0.953018,0.113577,8.391,2.00E-16,0.060289,0.041223,1.463,0.1436,0.050405,0.10606,0.475,0.6346,4.06E-15,1,1
HC201,DRB1_103-DRB1_1501,1.079438,0.067875,15.903,2.00E-16,0.20769,0.03511,5.915,3.31E-09,-0.06348,0.171034,-0.371,0.7105,4.06E-15,1.49E-07,1
HC201,DRB1_103-DQB1_602,1.09E+00,6.76E-02,16.1,2.00E-16,2.10E-01,3.56E-02,5.916,3.30E-09,-1.47E-01,1.78E-01,-0.829,0.4068,4.06E-15,1.49E-07,1
HC201,DRB1_103-DRB5_101,1.084424,0.067741,16.008,2.00E-16,0.20274,0.035111,5.774,7.73E-09,-0.068068,0.170972,-0.398,0.6905,4.06E-15,3.28E-07,1
HC201,DRB1_103-A_201,1.085658,0.084914,12.785,2.00E-16,0.12547,0.029294,4.283,1.84E-05,-0.081297,0.095267,-0.853,0.3935,4.06E-15,0.000344412,1
HC201,DRB1_103-DRB5_9901,0.967309,0.314932,3.071,0.00213,-0.191267,0.034642,-5.521,3.37E-08,0.05708,0.167928,0.34,0.73392,0.022546336,1.27E-06,1
HC201,DRB1_103-C_304,1.007275,0.065211,15.446,2.00E-16,-0.197825,0.053196,-3.719,0.0002,0.244725,0.212142,1.154,0.2487,4.06E-15,0.002950047,1
HC201,DRB1_103-B_4001,1.008394,0.064277,15.688,2.00E-16,-0.244424,0.064412,-3.795,0.000148,0.345362,0.247188,1.397,0.162364,4.06E-15,0.002236494,1
HC201,DRB4_9901-DQA1_301,0.166746,0.038577,4.322,1.54E-05,-0.101334,0.063344,-1.6,0.1097,-0.074909,0.061413,-1.22,0.2226,0.000174314,1,1
HC201,DRB4_9901-DQB1_302,0.186695,0.031633,5.902,3.59E-09,-0.160446,0.084863,-1.891,0.0587,-0.092514,0.093722,-0.987,0.3236,5.02E-08,0.671949421,1
HC201,DRB4_9901-DRB4_103,0.200232,0.050323,3.979,6.92E-05,-0.046292,0.066829,-0.693,0.4885,-0.016213,0.054628,-0.297,0.7666,0.000761114,1,1
HC201,DRB4_9901-DQA1_101,0.221818,0.031796,6.976,3.03E-12,0.3326,0.122278,2.72,0.00653,-0.108995,0.069608,-1.566,0.11739,5.00E-11,0.080546188,1
HC201,DRB4_9901-DRB1_404,0.208219,0.02909,7.158,8.21E-13,-0.284762,0.152664,-1.865,0.0621,-0.227489,0.184543,-1.233,0.2177,1.39E-11,0.709856886,1
HC201,DRB4_9901-DQB1_501,0.219964,0.031051,7.084,1.40E-12,0.234364,0.133293,1.758,0.0787,-0.058472,0.075603,-0.773,0.4393,2.34E-11,0.891353497,1
HC201,DRB4_9901-DRB1_1501,0.211251,0.031501,6.706,2.00E-11,0.021867,0.128307,0.17,0.8647,0.036615,0.072207,0.507,0.6121,3.16E-10,1,1
HC201,DRB4_9901-DQB1_602,0.213844,0.031519,6.785,1.16E-11,0.065539,0.129223,0.507,0.612,0.010581,0.072935,0.145,0.8847,1.86E-10,1,1
HC201,DRB4_9901-DRB5_101,0.210654,0.031477,6.692,2.20E-11,-0.007317,0.128779,-0.057,0.9547,0.050348,0.072389,0.696,0.4867,3.47E-10,1,1
HC201,DRB4_9901-A_201,0.296773,0.039134,7.584,3.36E-14,0.254415,0.064344,3.954,7.69E-05,-0.078833,0.04262,-1.85,0.0644,6.05E-13,0.001229396,1
HC201,DRB4_9901-DRB5_9901,0.272201,0.132542,2.054,0.04,-0.012756,0.125505,-0.102,0.919,-0.032747,0.070729,-0.463,0.6434,0.41214046,1,1
HC201,DRB4_9901-C_304,0.214659,0.030098,7.132,9.90E-13,-0.25023,0.108803,-2.3,0.0215,0.07199,0.076999,0.935,0.3498,1.67E-11,0.253637387,1
HC201,DRB4_9901-B_4001,0.218674,0.029259,7.474,7.80E-14,-0.364338,0.137281,-2.654,0.00796,0.120092,0.093794,1.28,0.20041,1.38E-12,0.097308574,1
HC201,DQA1_301-DQB1_302,-0.196736,0.046049,-4.272,1.93E-05,-0.390497,0.135985,-2.872,0.00408,0.174385,0.100675,1.732,0.08325,0.000217276,0.051254783,1
HC201,DQA1_301-DRB4_103,-0.306724,0.0856305,-3.582,0.000341,-0.0956422,0.0520448,-1.838,0.066108,0.0822144,0.0618821,1.329,0.183991,0.003668307,0.75360084,1
HC201,DQA1_301-DQA1_101,-0.238578,0.038325,-6.225,4.81E-10,0.174959,0.037357,4.683,2.82E-06,-0.016578,0.090178,-0.184,0.8541,7.07E-09,6.57E-05,1
HC201,DQA1_301-DRB1_404,-0.225715,0.037685,-5.989,2.10E-09,-0.688351,0.255196,-2.697,0.00699,0.283588,0.198593,1.428,0.1533,2.98E-08,0.085984101,1
HC201,DQA1_301-DQB1_501,-0.242829,0.037604,-6.458,1.06E-10,0.166915,0.039745,4.2,2.67E-05,-0.032338,0.097215,-0.333,0.7394,1.61E-09,0.000478862,1
HC201,DQA1_301-DRB1_1501,-0.265137,0.038412,-6.902,5.11E-12,0.098603,0.038083,2.589,0.00962,0.080249,0.089253,0.899,0.36859,8.34E-11,0.116787981,1
HC201,DQA1_301-DQB1_602,-0.268549,0.038436,-6.987,2.81E-12,0.094414,0.038676,2.441,0.0146,0.096063,0.090242,1.065,0.2871,4.64E-11,0.174529092,1
HC201,DQA1_301-DRB5_101,-0.263203,0.038371,-6.859,6.91E-12,0.095355,0.03805,2.506,0.0122,0.073766,0.089403,0.825,0.4093,1.12E-10,0.146635377,1
HC201,DQA1_301-A_201,-0.346596,0.050832,-6.818,9.21E-12,0.130429,0.033954,3.841,0.000122,0.07461,0.051414,1.451,0.146729,1.48E-10,0.001871293,1
HC201,DQA1_301-DRB5_9901,-0.137433,0.164315,-0.836,0.4029,-0.085277,0.037576,-2.269,0.0232,-0.060357,0.088154,-0.685,0.4935,1,0.273261876,1
HC201,DQA1_301-C_304,-0.235748,0.03843,-6.134,8.55E-10,-0.0832,0.070421,-1.181,0.2374,-0.084092,0.085577,-0.983,0.3258,1.24E-08,1,1
HC201,DQA1_301-B_4001,-0.246773,0.036768,-6.712,1.92E-11,-0.135519,0.082227,-1.648,0.0993,-0.09673,0.104929,-0.922,0.3566,3.04E-10,1,1
HC201,DQB1_302-DRB4_103,-0.391461,0.122647,-3.192,0.00141,-0.148819,0.037194,-4.001,6.30E-05,0.09229,0.096428,0.957,0.33852,0.014971605,0.001026763,1
HC201,DQB1_302-DQA1_101,-0.335854,0.053386,-6.291,3.15E-10,0.183215,0.035439,5.17,2.34E-07,0.135729,0.12112,1.121,0.2625,4.67E-09,7.22E-06,1
HC201,DQB1_302-DRB1_404,-0.252539,0.058919,-4.286,1.82E-05,-0.45016,0.296093,-1.52,0.1284,0.132539,0.260273,0.509,0.6106,0.00020514,1,1
HC201,DQB1_302-DQB1_501,-0.339858,0.052421,-6.483,8.98E-11,0.173326,0.037798,4.586,4.53E-06,0.150917,0.128919,1.171,0.2417,1.37E-09,9.95E-05,1
HC201,DQB1_302-DRB1_1501,-0.326907,0.052767,-6.195,5.82E-10,0.130822,0.035848,3.649,0.000263,0.04996,0.125857,0.397,0.691398,8.50E-09,0.003809761,1
HC201,DQB1_302-DQB1_602,-0.32922,0.052769,-6.239,4.41E-10,0.131393,0.036333,3.616,0.000299,0.018383,0.129114,0.142,0.886783,6.49E-09,0.004302944,1
HC201,DQB1_302-DRB5_101,-0.325052,0.052703,-6.168,6.93E-10,0.127515,0.035817,3.56,0.000371,0.021987,0.127027,0.173,0.86258,1.01E-08,0.005267556,1
HC201,DQB1_302-A_201,-0.444553,0.069621,-6.385,1.71E-10,0.114515,0.03041,3.766,0.000166,0.129746,0.071714,1.809,0.070417,2.57E-09,0.002484763,1
HC201,DQB1_302-DRB5_9901,-0.268808,0.232341,-1.157,0.2473,-0.115418,0.035359,-3.264,0.0011,-0.026629,0.124607,-0.214,0.8308,1,0.014646011,1
HC201,DQB1_302-C_304,-0.291778,0.057304,-5.092,3.55E-07,-0.095829,0.064379,-1.489,0.1366,-0.053315,0.101127,-0.527,0.598,4.41E-06,1,1
HC201,DQB1_302-B_4001,-0.30312,0.052576,-5.765,8.15E-09,-0.145676,0.074398,-1.958,0.0502,-0.088161,0.12528,-0.704,0.4816,1.12E-07,0.577638015,1
HC201,DRB4_103-DQA1_101,-0.2010582,0.0356547,-5.639,1.71E-08,0.1569401,0.0391239,4.011,6.04E-05,0.037218,0.0809995,0.459,0.6459,2.31E-07,0.000989847,1
HC201,DRB4_103-DRB1_404,-0.183348,0.033496,-5.474,4.41E-08,-0.478422,0.203807,-2.347,0.0189,0.055394,0.167832,0.33,0.7414,5.82E-07,0.223882123,1
HC201,DRB4_103-DQB1_501,-0.199311,0.034895,-5.712,1.12E-08,0.158229,0.041438,3.819,0.000134,-0.011887,0.087925,-0.135,0.892458,1.53E-07,0.002041415,1
HC201,DRB4_103-DRB1_1501,-0.2245404,0.0357108,-6.288,3.22E-10,0.0847694,0.0398168,2.129,0.0333,0.1178419,0.080711,1.46,0.1443,4.77E-09,0.388557462,1
HC201,DRB4_103-DQB1_602,-0.226574,0.035716,-6.344,2.24E-10,0.079882,0.040463,1.974,0.0484,0.136362,0.081505,1.673,0.0943,3.34E-09,0.557967618,1
HC201,DRB4_103-DRB5_101,-0.223945,0.035692,-6.274,3.51E-10,0.083123,0.039755,2.091,0.0365,0.110259,0.080795,1.365,0.1724,5.19E-09,0.424704937,1
HC201,DRB4_103-A_201,-0.282579,0.045751,-6.176,6.56E-10,0.123926,0.036202,3.423,0.000619,0.05691,0.047851,1.189,0.234319,9.56E-09,0.008519464,1
HC201,DRB4_103-DRB5_9901,0.01908,0.147243,0.13,0.8969,-0.070207,0.039346,-1.784,0.0744,-0.11991,0.079229,-1.513,0.1302,1,0.845294456,1
HC201,DRB4_103-C_304,-0.1964356,0.0347296,-5.656,1.55E-08,-0.1129224,0.0735574,-1.535,0.1247,-0.0780173,0.0833977,-0.935,0.3495,2.10E-07,1,1
HC201,DRB4_103-B_4001,-0.204598,0.033552,-6.098,1.07E-09,-0.141276,0.085327,-1.656,0.0978,-0.114488,0.102017,-1.122,0.2618,1.54E-08,1,1
HC201,DQA1_101-DRB1_404,0.212273,0.034199,6.207,5.40E-10,-0.468215,0.09206,-5.086,3.66E-07,-0.253944,0.243701,-1.042,0.2974,7.91E-09,1.08E-05,1
HC201,DQA1_101-DQB1_501,0.234741,0.078538,2.989,0.0028,-0.169914,0.115266,-1.474,0.1405,0.118545,0.06705,1.768,0.0771,0.029554809,1,1
HC201,DQA1_101-DRB1_1501,0.283712,0.037204,7.626,2.42E-14,0.236886,0.037782,6.27,3.61E-10,-0.116239,0.09175,-1.267,0.2052,4.40E-13,1.94E-08,1
HC201,DQA1_101-DQB1_602,0.2871107,0.0371421,7.73,1.08E-14,0.239172,0.0382963,6.245,4.23E-10,-0.1377857,0.0934587,-1.474,0.1404,2.01E-13,2.25E-08,1
HC201,DQA1_101-DRB5_101,0.286687,0.037152,7.717,1.19E-14,0.233845,0.037752,6.194,5.86E-10,-0.129885,0.092147,-1.41,0.1587,2.21E-13,3.05E-08,1
HC201,DQA1_101-A_201,0.219407,0.045814,4.789,1.68E-06,0.121494,0.033122,3.668,0.000244,0.02438,0.052738,0.462,0.643874,2.00E-05,0.003552401,1
HC201,DQA1_101-DRB5_9901,-0.050145,0.165725,-0.303,0.7622,-0.228843,0.037321,-6.132,8.69E-10,0.173099,0.088353,1.959,0.0501,1,4.37E-08,1
HC201,DQA1_101-C_304,0.228778,0.035586,6.429,1.29E-10,-0.17596,0.058883,-2.988,0.00281,-0.08219,0.106923,-0.769,0.44208,1.95E-09,0.035911044,1
HC201,DQA1_101-B_4001,0.225763,0.034915,6.466,1.01E-10,-0.212968,0.07071,-3.012,0.0026,-0.089855,0.131803,-0.682,0.4954,1.54E-09,0.033303093,1
HC201,DRB1_404-DQB1_501,-0.483982,0.090919,-5.323,1.02E-07,0.200077,0.036529,5.477,4.32E-08,-0.183109,0.254924,-0.718,0.4726,1.31E-06,1.59E-06,1
HC201,DRB1_404-DRB1_1501,-0.542731,0.094711,-5.73,1.00E-08,0.14699,0.034762,4.228,2.35E-05,0.182759,0.213738,0.855,0.3925,1.37E-07,0.000427477,1
HC201,DRB1_404-DQB1_602,-0.544545,0.094711,-5.75,8.95E-09,0.148205,0.035226,4.207,2.58E-05,0.096716,0.223617,0.433,0.6654,1.23E-07,0.0004645,1
HC201,DRB1_404-DRB5_101,-0.542891,0.094709,-5.732,9.92E-09,0.142935,0.034748,4.113,3.90E-05,0.180985,0.213732,0.847,0.3971,1.36E-07,0.000670959,1
HC201,DRB1_404-A_201,-0.614188,0.115982,-5.296,1.19E-07,0.111603,0.028717,3.886,0.000102,0.141775,0.135347,1.047,0.294874,1.52E-06,0.001588607,1
HC201,DRB1_404-DRB5_9901,-0.274566,0.394804,-0.695,0.486774,-0.132747,0.034265,-3.874,0.000107,-0.126784,0.213604,-0.594,0.552816,1,0.001660263,1
HC201,DRB1_404-C_304,-0.407313,0.104556,-3.896,9.79E-05,-0.121531,0.055463,-2.191,0.0284,-0.205344,0.167819,-1.224,0.2211,0.001071844,0.332591765,1
HC201,DRB1_404-B_4001,-0.412938,0.103192,-4.002,6.29E-05,-0.127748,0.069256,-1.845,0.0651,-0.203472,0.178143,-1.142,0.2534,0.000692771,0.742562333,1
HC201,DQB1_501-DRB1_1501,0.268074,0.039651,6.761,1.37E-11,0.220578,0.037217,5.927,3.09E-09,-0.10255,0.097464,-1.052,0.2927,2.18E-10,1.41E-07,1
HC201,DQB1_501-DQB1_602,0.273891,0.039518,6.931,4.19E-12,0.222399,0.037721,5.896,3.73E-09,-0.118651,0.099953,-1.187,0.2352,6.86E-11,1.67E-07,1
HC201,DQB1_501-DRB5_101,0.273069,0.039583,6.899,5.25E-12,0.218154,0.037196,5.865,4.49E-09,-0.123409,0.097473,-1.266,0.2055,8.56E-11,1.99E-07,1
HC201,DQB1_501-A_201,0.208281,0.048934,4.256,2.08E-05,0.118814,0.032287,3.68,0.000233,0.032427,0.056063,0.578,0.562995,0.000233929,0.003405052,1
HC201,DQB1_501-DRB5_9901,-0.001087,0.180883,-0.006,0.9952,-0.208698,0.036698,-5.687,1.29E-08,0.137349,0.096303,1.426,0.1538,1,5.24E-07,1
HC201,DQB1_501-C_304,0.21988,0.038004,5.786,7.22E-09,-0.182999,0.057731,-3.17,0.00153,-0.074665,0.113364,-0.659,0.51013,9.93E-08,0.020059732,1
HC201,DQB1_501-B_4001,0.215988,0.037282,5.793,6.90E-09,-0.216925,0.069211,-3.134,0.00172,-0.091413,0.1408,-0.649,0.51618,9.50E-08,0.022443387,1
HC201,DRB1_1501-DQB1_602,-0.271825,0.198213,-1.371,0.1703,0.107705,0.197691,0.545,0.5859,0.242756,0.060651,4.003,6.27E-05,1,1,0.018530865
HC201,DRB1_1501-DRB5_101,-0.271763,0.393279,-0.691,0.4896,0.073022,0.393355,0.186,0.8527,0.263317,0.05922,4.446,8.73E-06,1,1,0.003404345
HC201,DRB1_1501-A_201,0.232657,0.045808,5.079,3.80E-07,0.156503,0.032887,4.759,1.95E-06,-0.098915,0.054022,-1.831,0.0671,4.71E-06,4.74E-05,1
HC201,DRB1_1501-DRB5_9901,0.47845,0.162413,2.946,0.00322,0.153431,0.153679,0.998,0.31809,-0.258643,0.059151,-4.373,1.23E-05,0.033943368,1,0.004529153
HC201,DRB1_1501-C_304,0.144442,0.036189,3.991,6.57E-05,-0.238319,0.059422,-4.011,6.06E-05,0.146826,0.105813,1.388,0.1653,0.000723256,0.000992835,1
HC201,DRB1_1501-B_4001,0.146902,0.035571,4.13,3.63E-05,-0.292862,0.07226,-4.053,5.06E-05,0.200864,0.12439,1.615,0.1064,0.000403523,0.00084578,1
HC201,DQB1_602-DRB5_101,0.110592,0.196325,0.563,0.5732,-0.296682,0.197418,-1.503,0.1329,0.256276,0.060373,4.245,2.19E-05,1,1,0.007521563
HC201,DQB1_602-A_201,0.217452,0.046637,4.663,3.12E-06,0.152883,0.032876,4.65,3.32E-06,-0.07631,0.054707,-1.395,0.1631,3.66E-05,7.59E-05,1
HC201,DQB1_602-DRB5_9901,0.518466,0.140712,3.685,0.000229,0.201378,0.12813,1.572,0.116029,-0.242017,0.060162,-4.023,5.75E-05,0.002476275,1,0.017220602
HC201,DQB1_602-C_304,0.144811,0.036688,3.947,7.91E-05,-0.239755,0.059441,-4.033,5.50E-05,0.130545,0.108428,1.204,0.2286,0.000868216,0.000909982,1
HC201,DQB1_602-B_4001,0.147123,0.036077,4.078,4.54E-05,-0.292433,0.072224,-4.049,5.14E-05,0.180855,0.127154,1.422,0.1549,0.000502295,0.000857493,1
HC201,DRB5_101-A_201,0.220937,0.045934,4.81,1.51E-06,0.155536,0.03287,4.732,2.23E-06,-0.087211,0.053929,-1.617,0.1058,1.80E-05,5.32E-05,1
HC201,DRB5_101-DRB5_9901,0.467483,0.169716,2.755,0.00588,0.149241,0.161741,0.923,0.35615,-0.261583,0.059296,-4.412,1.03E-05,0.061676722,1,0.003908024
HC201,DRB5_101-C_304,0.136497,0.036224,3.768,0.000164,-0.242309,0.059469,-4.075,4.61E-05,0.170755,0.105084,1.625,0.104175,0.001781981,0.00077809,1
HC201,DRB5_101-B_4001,0.140562,0.035589,3.95,7.83E-05,-0.29332,0.072228,-4.061,4.89E-05,0.214988,0.123846,1.736,0.0826,0.000859603,0.000819928,1
HC201,A_201-DRB5_9901,-0.040854,0.093139,-0.439,0.6609,-0.216682,0.045179,-4.796,1.62E-06,0.098639,0.053293,1.851,0.0642,1,4.03E-05,1
HC201,A_201-C_304,0.130279,0.030375,4.289,1.79E-05,-0.321905,0.082221,-3.915,9.04E-05,0.09928,0.075474,1.315,0.1884,0.000201839,0.001424336,1
HC201,A_201-B_4001,0.126474,0.029433,4.297,1.73E-05,-0.31851,0.093547,-3.405,0.000662,0.071935,0.091902,0.783,0.433781,0.000195211,0.009075693,1
HC201,DRB5_9901-C_304,-0.127854,0.035703,-3.581,0.000342,0.054122,0.18589,0.291,0.770935,-0.142857,0.104329,-1.369,0.17091,0.00367836,1,1
HC201,DRB5_9901-B_4001,-0.132735,0.035065,-3.785,0.000153,0.05836,0.219443,0.266,0.790282,-0.165942,0.12373,-1.341,0.179868,0.001665035,1,1
