phenotype,Allelotype_pair,estimate_add1,se_add1,z_add1,p_add1,estimate_add2,se_add2,z_add2,p_add2,estimate_int,se_int,z_int,p_int,adj_p_add1,adj_p_add2,adj_p_int
HC151,DRB1_401-DQB1_302,-0.501759,0.096958,-5.175,2.28E-07,-0.267098,0.09175,-2.911,0.0036,0.09537,0.147379,0.647,0.5176,2.87E-06,0.045463825,1
HC151,DRB1_401-DRB1_701,-0.592809,0.081146,-7.305,2.76E-13,-0.353014,0.061313,-5.758,8.53E-09,-0.00963,0.238746,-0.04,0.9678,4.75E-12,3.58E-07,1
HC151,DRB1_401-B_4402,-0.549292,0.09706,-5.659,1.52E-08,-0.275003,0.083662,-3.287,0.00101,0.186133,0.141268,1.318,0.18764,2.06E-07,0.013500519,1
HC151,DRB1_401-DQA1_201,-0.591084,0.081141,-7.285,3.22E-13,-0.336439,0.060871,-5.527,3.26E-08,-0.027607,0.238476,-0.116,0.9078,5.53E-12,1.23E-06,1
HC151,DRB1_401-DQA1_101,-0.669495,0.083772,-7.992,1.33E-15,-0.387718,0.062797,-6.174,6.65E-10,0.543271,0.203265,2.673,0.00752,2.59E-14,3.43E-08,0.765201855
HC151,DRB1_401-DQA1_103,-0.557725,0.077302,-7.215,5.40E-13,-0.495395,0.104785,-4.728,2.27E-06,-0.324905,0.465164,-0.698,0.4849,9.19E-12,5.40E-05,1
HC151,DRB1_401-C_304,-0.5303557,0.0849195,-6.245,4.23E-10,-0.3288274,0.0934754,-3.518,0.000435,0.1026866,0.1813758,0.566,0.571289,6.23E-09,0.006121301,1
HC151,DRB1_401-DRB1_1301,-0.55507,0.077088,-7.2,6.00E-13,-0.486317,0.10873,-4.473,7.72E-06,-0.461848,0.516918,-0.893,0.3716,1.02E-11,0.000159496,1
HC151,DRB1_401-B_2705,-0.580642,0.079861,-7.271,3.58E-13,-0.629565,0.143187,-4.397,1.10E-05,0.513987,0.272045,1.889,0.0588,6.13E-12,0.000218847,1
HC151,DRB1_401-DQB1_603,-0.550635,0.0773153,-7.122,1.06E-12,-0.4736882,0.1087634,-4.355,1.33E-05,-0.4677065,0.516948,-0.905,0.3656,1.79E-11,0.000259008,1
