,DRB3_101,DRB3_202,DRB3_210,DRB3_224,DRB3_301,DRB3_9901
cancer1012,,,,,,
cancer1084,,,,,,
cancer1038,0.0,,,,,
cancer1059,,,,,,
cancer1005,0.0,,,,,0.0
cancer1068,,,,,,
cancer1007,,,,,,
cancer1001,,,,,,
cancer1074,,,,,,
cancer1079,,,,,,
cancer1010,,,,,,
cancer1052,0.0,,,,,
cancer1030,,,,,,
cancer1017,,,,,,
cancer1081,,,,,,
cancer1009,,,,,,
cancer1048,,,,,,
cancer1076,,,,,,
cancer1026,,,,,,
cancer1039,,,,,,0.0
cancer1082,,,,,,0.0
cancer1004,0.062,,,,,
cancer1033,,,,,,
cancer1077,,,,,,
cancer1063,,,,,,
cancer1065,,,,,,
cancer1015,0.062,,,,,
cancer1029,,,,,,0.0
cancer1055,0.0,,,,,
cancer1066,,,,,,
cancer1041,,,,,,0.195
cancer1060,,,,,,
cancer1034,,,,,,
cancer1036,,,,,,
cancer1032,,,,,,
cancer1046,,,,,,
cancer1044,,,,,,
cancer1008,,,,,,
cancer1035,,,,,,
cancer1051,,,,,,
cancer1031,,,,,,
cancer1043,0.0,,,,,0.0
cancer1018,,0.06,,,,
cancer1047,0.0,,,,,
cancer1086,,,,,,
cancer1088,0.0,,,,,
cancer1080,,,,,,
cancer1075,,,,,,
cancer1053,,,,,,
cancer1020,,,,,,
cancer1025,,,,,,
cancer1037,,,,,,0.0
cancer1011,,0.555,,,,
cancer1056,,,,,,
