,DPA1_103,DPA1_104,DPA1_105,DPA1_201,DPA1_202,DPA1_301
HC406,,,,,,
HC407,,,,,,
HC408,,,0.0,,,
HC409,,,,,,
HC411,,,,,,
HC412,,,,,,
HC413,,0.0,,,0.0,
HC414,,,,,,
HC415,,,,,,
HC416,,,0.0,,,
HC417,,,,,,
HC418,,,,,,
HC419,,,,,,
HC420,,,,0.0,,
HC421,,,,,,
HC422,,,,,,
HC423,,,,,,
HC424,,,,,,
HC425,,,,,,
HC428,,,,,0.0,
HC429,,,,,0.0,
HC430,,,,,,
HC431,,,,,,
HC432,,,,,,
HC433,,,,,,
HC434,,0.0,0.0,0.0,,
HC435,,,,,,
HC436,,,,,,
HC437,,,,,,
HC438,,,,,,
HC439,,,,,,
HC440,,,,,,
HC441,,,,,,
HC442,,,,,,
HC443,,,,,,
HC444,,,,,,
HC445,,,,,,
cancer1022,,,,,,
cancer1067,0.0,,,,,
cancer1023,,,,,,
cancer1024,,,,,,
cancer1050,,,,,,
cancer1019,0.0,,,,,
cancer1002,,,,,,
cancer1003,,,,,,
cancer1085,,0.0,,,,
cancer1012,,,,,,
cancer1084,,,,,,
cancer1038,,,,,,
cancer1059,,,,,,
cancer1005,,,,,,
cancer1068,,,,,,
cancer1007,,,,,,
cancer1001,,,,,,
cancer1074,,,,,,
cancer1079,,,0.0,,,
cancer1010,,,,,,
cancer1052,,,,,,
cancer1030,,,,,,
cancer1017,,,,,0.031,
cancer1081,,,,,,
cancer1009,,,,,0.022,
cancer1048,,,,,,
cancer1076,,,,,,
cancer1026,0.067,,,0.029,,
cancer1039,,,,,,
cancer1082,,,,,,
cancer1004,,,,,,
cancer1033,,,,0.053,,
cancer1077,,,,,,
cancer1063,,0.047,,,,
cancer1065,,,,,,
cancer1015,,,,,,
cancer1029,,,,,,
cancer1055,,,,,,
cancer1066,,,,,,
cancer1041,,,,,,
cancer1060,,,,,,
cancer1034,,,,,,
cancer1036,,,,,,
cancer1032,,,,,,
cancer1046,,,,,,
cancer1044,,,,,,
cancer1008,,,,,,
cancer1035,,,,,,
cancer1051,,,,,,
cancer1031,,,,,,
cancer1043,,,,,,
cancer1018,,,,,,
cancer1047,,,,,,
cancer1086,,0.073,,,,
cancer1088,,,,,,
cancer1080,0.0,,,,0.0,
cancer1075,,,,,,
cancer1053,,,,,,
cancer1020,,,,,,
cancer1025,,,,,,
cancer1037,,,,,,
cancer1011,,,,,,
cancer1056,,,,,,
