GBE_ID	ALL_ID	BETA	SE	Z_STAT	P	AIC	BY_ADJ_P
HC649	DRB5_9901	0.0803182973759461	0.0146872161691729	5.46858549985305	4.5364122634245996e-08	146485.63459822698	7.413524956690399e-05
HC1132	C_304	-0.307622173975633	0.0563011813311723	-5.463867128580331	4.6587229956631105e-08	32491.6193157179	7.603235319086542e-05
HC1236	DQB1_202	-0.47201641477152506	0.0863912386160275	-5.46370699544474	4.6629295975975706e-08	31374.3738025461	7.603235319086542e-05
HC38	B_3901	0.53117712972035	0.0972269337438165	5.46327143381843	4.67439017890003e-08	56277.8971522634	7.613406489918715e-05
HC151	DQB1_302	-0.379383599940269	0.0694601047960618	-5.46189213296117	4.71086304366216e-08	19329.5958212291	7.664248211750337e-05
HC1581	DRB1_1501	-0.0570523743139892	0.0104601781962442	-5.4542449701740505	4.91813631761867e-08	261151.60390981802	7.992547232941919e-05
HC648	A_101	0.17703494356158497	0.0324603457600129	5.45388348203209	4.92815002824275e-08	31896.0666938571	7.999902176352748e-05
HC534	DQA1_103	-0.169184751110626	0.031028939387016004	-5.452482567980419	4.96714427463179e-08	103919.72875539	8.054232744451415e-05
HC643	C_304	-0.103402514781441	0.0189707950501836	-5.45061577587599	5.01957123029638e-08	156091.336523317	8.130199537209388e-05
HC151	DRB1_701	-0.31489522061166	0.0578037860490893	-5.447657361824679	5.10375553620396e-08	19269.6647468477	8.257377993310808e-05
HC1357	DRB4_9901	-0.1261028005516	0.0231588601114976	-5.44512121686829	5.17701182674485e-08	38679.8984043248	8.350053795032888e-05
HC219	DRB4_9901	-0.0578440509560762	0.0106224651276119	-5.44544512607692	5.16759928446443e-08	147410.992099141	8.350053795032888e-05
HC649	C_702	-0.0787825826870687	0.0144685822730064	-5.44507963534554	5.1782213553404005e-08	147752.77879316	8.350053795032888e-05
HC534	DQA1_101	-0.10592290842242001	0.0194596658586348	-5.44320283770025	5.2330999643544297e-08	104002.6031972	8.429223011690882e-05
HC382	DRB1_1501	-0.056477587389689006	0.0103938691452763	-5.433740467605981	5.51848290566092e-08	263544.853906893	8.87909282715672e-05
HC179	DRB3_101	0.101796120564107	0.0187406496693734	5.4318352010211095	5.5777422700501e-08	88920.8699974377	8.964544933649062e-05
HC156	DRB5_101	-0.164961630467759	0.0304165974527399	-5.42340841128168	5.84731824036009e-08	51146.0313600788	9.387457307014081e-05
HC78	DRB1_1501	-0.0821939126149639	0.0151646012589353	-5.420116969216941	5.95600529131641e-08	147547.32493168302	9.55142751359886e-05
HC1212	DQA1_101	0.130766432287251	0.0241551207026251	5.4136112130062495	6.176620145224059e-08	63568.1380507412	9.89433461699034e-05
HC1236	C_602	-0.262086735538406	0.0484342445718031	-5.411186606820429	6.260848738854719e-08	35328.1286785813	0.0001001825142644181
HC170	C_401	-0.597605650105665	0.110545939090851	-5.40594846830626	6.446633067325111e-08	12543.8919835121	0.00010304221972747692
HC709	DRB1_301	0.257119422297477	0.0476045791844586	5.40114893781937	6.62154196627599e-08	18522.4375347956	0.00010572201959364295
HC1212	DQB1_603	-0.244373897505064	0.0453345707859797	-5.3904535383985595	7.02800849200702e-08	63423.2016306968	0.00011208904637399337
HC652	B_801	0.08953605317093499	0.0166122862467829	5.38974899907437	7.055615868390121e-08	116660.07858706401	0.00011240637092278306
HC303	DRB1_1401	-0.92864147698599	0.172341333535198	-5.38838511886254	7.1093583304301e-08	27290.9869199844	0.00011313891854556254
HC78	DQB1_602	-0.082816161605256	0.0153816109451834	-5.38410195787646	7.28072274373735e-08	146678.87188640801	0.00011573967268767826
HC853	C_701	-0.11428785919981599	0.0212613274866658	-5.3753868036458305	7.64184493912359e-08	78621.4368979167	0.0001213480026616991
HC156	DRB1_1301	-0.28414792076731105	0.0528689991232519	-5.37456591725683	7.67673961194509e-08	51096.3952400873	0.0001217694630669535
HC38	A_301	-0.15397125586470498	0.0287086172670375	-5.36324179017463	8.17414698497004e-08	56590.651477131105	0.00012951847072950975
HC1198	DPB1_201	-0.24181666445546202	0.0450967352715599	-5.36217672963042	8.22250331076599e-08	37901.575013507005	0.00013014321144464493
HC156	DRB5_9901	0.15942018054819299	0.0297420459356444	5.36009462473246	8.31783725021213e-08	50628.649280243095	0.00013138455375287313
HC55	DRB1_103	0.393672635840579	0.0734454241288294	5.360070290424679	8.3189577550529e-08	41918.0726561773	0.00013138455375287313
HC1212	DQA1_103	-0.23156977390267602	0.0432057800878843	-5.35969431478017	8.336288628318159e-08	63540.6314628656	0.00013151577971129126
