ALL_ID	posterior_mean	posterior_sd	posterior_prob	GBE_ID
DQA1_301	0	0	0	HC1212
B_1302	0	0	0	HC1213
B_2705	0.751521333415975	0.103987884692659	100	HC1213
B_3901	1.13646133331052	0.216208145076551	100	HC1213
B_5701	0.452226617046684	0.126026585933615	41.5	HC1213
C_602	0.736953455881591	0.126470567476815	100	HC1213
DRB1_701	0	0	0	HC1213
DQB1_303	0.355164586709482	0.102911443666737	18.9	HC1213
DQA1_101	0.344712811153571	0.0701806631338436	100	HC1213
DQA1_201	0	0	0	HC1213
DRB5_101	0	0	0	HC1230
DRB5_9901	0	0	0	HC1230
DRB1_1501	0	0	0	HC1230
DQA1_102	-0.0407813164687295	0.00842698464543626	100	HC1230
DRB4_103	0	0	0	HC1232
DRB4_9901	0	0	0	HC1232
DRB1_404	0	0	0	HC1232
DQB1_302	0.39708686555022	0.0733982722156799	100	HC1232
DQA1_301	0	0	0	HC1232
DPB1_402	0.279749866127931	0.0720795735854551	67.1	HC1232
A_101	0	0	0	HC1233
B_801	0.57972724045789	0.0736253974607684	100	HC1233
C_701	0	0	0	HC1233
DRB3_101	0	0	0	HC1233
DRB1_301	0	0	0	HC1233
DQB1_201	0	0	0	HC1233
DQA1_501	0	0	0	HC1233
DPB1_101	0	0	0	HC1233
A_101	0	0	0	HC1236
B_801	0.302975215053345	0.0367927681546523	100	HC1236
B_4001	0	0	0	HC1236
B_4403	0	0	0	HC1236
B_5701	0	0	0	HC1236
C_304	0	0	0	HC1236
C_602	0	0	0	HC1236
C_701	0	0	0	HC1236
DRB4_101	0	0	0	HC1236
DRB4_103	0	0	0	HC1236
DRB4_9901	0	0	0	HC1236
DRB1_401	0.3546640889131	0.0415219340619068	100	HC1236
DRB1_404	0.736550919658719	0.0580408584907562	100	HC1236
DRB1_701	-0.281112921429005	0.0634675277909566	63.6	HC1236
DQB1_202	0	0	0	HC1236
DQB1_302	0	0	0	HC1236
DQB1_303	0	0	0	HC1236
DQA1_102	0	0	0	HC1236
DQA1_201	-0.272998697962915	0.0632539831668115	36.4	HC1236
DQA1_301	0	0	0	HC1236
A_101	0	0	0	HC1242
B_702	0	0	0	HC1242
B_2705	2.1995806144102	0.0493972308637206	100	HC1242
B_4403	0	0	0	HC1242
C_102	0	0	0	HC1242
C_202	0	0	0	HC1242
C_401	0	0	0	HC1242
C_602	0	0	0	HC1242
C_702	0	0	0	HC1242
DRB5_101	0	0	0	HC1242
DRB1_101	0	0	0	HC1242
DRB1_103	0	0	0	HC1242
DRB1_701	0	0	0	HC1242
DRB1_1501	0	0	0	HC1242
DQB1_302	0	0	0	HC1242
DQB1_501	0	0	0	HC1242
DQA1_101	0	0	0	HC1242
DQA1_102	0	0	0	HC1242
DQA1_201	0	0	0	HC1242
DQA1_301	0.150144740969592	0.0477835788117038	17.9	HC1242
B_801	0	0	0	HC125
C_701	0	0	0	HC125
DRB3_101	0	0	0	HC125
DRB1_101	0	0	0	HC125
DRB1_301	0.130726173724554	0.0146404074552966	31	HC125
DRB1_401	0.0909121971672434	0.0171471922561846	100	HC125
DQB1_201	0.131918127215585	0.0146228899377984	69	HC125
DQA1_102	0	0	0	HC125
DQA1_501	0	0	0	HC125
DRB3_9901	-0.0584476955810746	0.0142418607728192	31.1	HC1302
DRB1_301	0.0770236704340414	0.0185909151880349	33.5	HC1302
DQA1_501	0.0662782124857204	0.0159861802357559	35.4	HC1302
B_801	-0.113234172139906	0.0297961259106509	74.1	HC1304
B_5701	0.199517172675822	0.0478429427644123	100	HC1304
A_101	-0.0877003250078712	0.0152895260718847	26.7	HC1322
B_801	-0.101011400648736	0.0174179696007282	67.6	HC1322
C_701	-0.0913801082690919	0.0157434838121157	5.8	HC1322
DRB3_101	0	0	0	HC1322
DRB1_301	0	0	0	HC1322
DQB1_201	0	0	0	HC1322
DQB1_302	0.0645375716302364	0.0188581566993122	32	HC1322
DQA1_501	0	0	0	HC1322
B_4402	0.251838741777672	0.0484615713331882	100	HC1329
C_501	0	0	0	HC1329
DRB4_9901	0	0	0	HC1329
DRB1_401	0	0	0	HC1329
DQB1_301	0	0	0	HC1329
DPB1_201	-0.291727394701318	0.0685773088059808	100	HC1329
DPB1_401	0.113960575518071	0.0343284711195249	31.9	HC1329
DRB3_9901	0.0889793702715403	0.0235148466009043	56.2	HC1354
DQB1_603	-0.202477432503507	0.0550020283545821	53.3	HC1354
DRB4_9901	-0.122023222520121	0.0232634452848015	100	HC1357
DRB1_701	0	0	0	HC1357
DQA1_201	0	0	0	HC1357
A_101	0	0	0	HC136
B_801	0.279108462377848	0.0366397849106678	100	HC136
B_4403	0	0	0	HC136
C_701	0	0	0	HC136
DRB4_101	0	0	0	HC136
DRB4_103	0	0	0	HC136
DRB1_301	0	0	0	HC136
DRB1_401	0.270486137540814	0.0420593572826343	100	HC136
DRB1_404	0.487624682727262	0.0616030677936298	100	HC136
DRB1_701	0	0	0	HC136
DQB1_201	0	0	0	HC136
DQB1_202	0	0	0	HC136
DQB1_302	0	0	0	HC136
DQA1_201	0	0	0	HC136
DQA1_301	0	0	0	HC136
A_201	-0.0779598281228559	0.0196916040987711	86.7	HC144
DQB1_302	-0.107901553726793	0.0295207575082771	65.5	HC144
A_201	-0.331949017722688	0.0483289339765146	100	HC151
A_301	0	0	0	HC151
B_702	0	0	0	HC151
B_1801	0.343694569939977	0.0854568155819913	82	HC151
B_4402	0	0	0	HC151
C_702	0	0	0	HC151
DRB5_101	0.834876169197472	0.0460130265277184	78.4	HC151
DRB5_9901	0	0	0	HC151
DRB4_103	-0.221104051904067	0.0550761193636678	10.9	HC151
DRB4_9901	0.220079284698098	0.049699819186142	89.1	HC151
DRB1_401	0	0	0	HC151
DRB1_701	0	0	0	HC151
DRB1_1501	0.829281429265869	0.0456405798981922	21.6	HC151
DQB1_301	0	0	0	HC151
DQB1_302	0	0	0	HC151
DQB1_602	0	0	0	HC151
DQA1_102	0	0	0	HC151
DQA1_103	0	0	0	HC151
DQA1_201	0	0	0	HC151
DQA1_301	0	0	0	HC151
B_801	0.181624916811124	0.0298741459890517	100	HC156
C_701	0	0	0	HC156
DRB5_101	0	0	0	HC156
DRB5_9901	0	0	0	HC156
DRB4_103	0	0	0	HC156
DRB4_9901	0	0	0	HC156
DRB1_401	-0.150887657299728	0.0466679185005651	21.6	HC156
DRB1_404	0	0	0	HC156
DRB1_701	0	0	0	HC156
DRB1_901	0	0	0	HC156
DRB1_1301	-0.193096487995647	0.0561461425116892	28.1	HC156
DRB1_1501	0	0	0	HC156
DQB1_302	0	0	0	HC156
DQB1_602	0	0	0	HC156
DQB1_603	-0.188042009162813	0.0560716999139057	16.8	HC156
DQA1_102	0	0	0	HC156
DQA1_103	-0.192184188198505	0.0562459120055702	25.8	HC156
DQA1_201	0	0	0	HC156
DQA1_301	0.312856787687973	0.0470511365607884	100	HC156
B_801	0.0577589099396137	0.0126382821722277	100	HC1581
C_701	0	0	0	HC1581
DRB4_103	-0.0857969265011751	0.0206614258569791	78.6	HC1581
DRB4_9901	-0.0914301185264375	0.0154836520696592	61.7	HC1581
DRB1_101	0	0	0	HC1581
DRB1_301	0	0	0	HC1581
DRB1_401	0.122353074015563	0.0207325118023665	100	HC1581
DRB1_1301	-0.119587128523511	0.0201734955470327	13	HC1581
DRB1_1302	0	0	0	HC1581
DQB1_201	0	0	0	HC1581
DQB1_301	0	0	0	HC1581
DQB1_302	0	0	0	HC1581
DQB1_501	0	0	0	HC1581
DQB1_603	-0.121470256457833	0.0201852747448864	22.7	HC1581
DQB1_604	-0.126541577341849	0.025971928929425	100	HC1581
DQA1_101	-0.0965392569754818	0.034797803200976	100	HC1581
DQA1_102	-0.0640960663039621	0.0119892910473845	38.3	HC1581
DQA1_103	-0.15698249306973	0.0372396353815192	64.3	HC1581
DQA1_301	0.0909778322409912	0.0194003410614651	78.6	HC1581
DQA1_501	0.0694940100349868	0.0133624985393894	61.7	HC1581
DRB4_103	0	0	0	HC1582
DQA1_301	0.0827329235555964	0.0164286818631194	100	HC1582
B_801	-0.0453704978903878	0.0114995777882944	30.8	HC164
C_701	-0.0438758084831462	0.0105817654673133	69.2	HC164
B_3906	0.780608143332894	0.18163212195785	71.8	HC169
DQA1_101	-0.319110324870689	0.0699727144304454	100	HC169
A_101	0	0	0	HC170
B_801	0.431202019565007	0.073233179220758	100	HC170
B_3501	-0.569812508413529	0.169657630630022	13.1	HC170
B_3801	0.750224967641109	0.216266996843381	6.3	HC170
B_4402	0	0	0	HC170
C_401	-0.421735851482198	0.123199609122285	34.7	HC170
C_701	0	0	0	HC170
DRB4_103	0	0	0	HC170
DRB4_9901	0.266276422007847	0.0609003011389114	49.9	HC170
DRB3_101	0	0	0	HC170
DRB3_9901	-0.28016605906701	0.0594644024029925	50.1	HC170
DRB1_101	-0.525556621699094	0.110056815407272	10.1	HC170
DRB1_301	0	0	0	HC170
DRB1_1401	0	0	0	HC170
DQB1_201	0	0	0	HC170
DQB1_501	-0.473982779787434	0.0996710968472199	39.8	HC170
DQB1_503	0.727250311919296	0.134418343663478	100	HC170
DQA1_301	0	0	0	HC170
DQA1_501	0	0	0	HC170
DPB1_101	0	0	0	HC170
B_801	0	0	0	HC179
C_701	0	0	0	HC179
DRB3_101	0	0	0	HC179
DRB1_101	0	0	0	HC179
DRB1_301	0.135389066593949	0.0202895477089378	30.8	HC179
DRB1_401	0.129502843342872	0.0234194520399828	100	HC179
DQB1_201	0.137697324053866	0.0202573861304478	69.2	HC179
DQB1_501	0	0	0	HC179
DQA1_101	0	0	0	HC179
DQA1_501	0	0	0	HC179
DRB1_301	0.406314018012576	0.0669479355219843	17.1	HC17
DRB1_401	0	0	0	HC17
DQB1_201	0.42309174686628	0.0666184110596463	82.9	HC17
DQB1_302	0.514590442264479	0.0755487829116077	100	HC17
DQA1_301	0	0	0	HC17
A_101	0	0	0	HC201
A_201	0.130741608914958	0.0286335774792996	100	HC201
DRB5_101	0.164046669838928	0.036056456696257	24.7	HC201
DRB5_9901	-0.156448787618575	0.0355430865682859	13.3	HC201
DRB4_103	0	0	0	HC201
DRB4_9901	0	0	0	HC201
DRB1_103	0.984167369609979	0.0639376969128853	100	HC201
DRB1_404	-0.400142148342765	0.0998989374452436	43.5	HC201
DRB1_1501	0.163432672626788	0.0360758272089594	22.7	HC201
DQB1_302	-0.342642307611535	0.0539625848717536	56.5	HC201
DQB1_501	0	0	0	HC201
DQB1_602	0.167923916125276	0.036051986771855	39.3	HC201
DQA1_101	0	0	0	HC201
DQA1_301	-0.165268990181844	0.0394812575588692	43.5	HC201
B_702	-0.0343041109410118	0.00775640695896791	26	HC215
C_702	0	0	0	HC215
DRB5_101	0	0	0	HC215
DRB5_9901	0	0	0	HC215
DRB1_1501	0	0	0	HC215
DQB1_602	-0.0367007265646864	0.00788874341719412	74	HC215
B_801	0.0823009326900597	0.0181704467635431	42.2	HC219
B_1501	-0.346191837229603	0.0264200527567579	100	HC219
B_2705	-0.285677580545767	0.0313693761603693	100	HC219
B_3906	0.544093785143692	0.0538715550520792	100	HC219
C_501	0.0933346942548394	0.0172386700202023	100	HC219
C_701	0.0764288354020781	0.0166159447615553	57.8	HC219
DRB5_101	-0.494085198038052	0.0600198339512339	51.1	HC219
DRB5_9901	-0.335615237154605	0.0583599160372879	100	HC219
DRB3_101	0	0	0	HC219
DRB1_301	0	0	0	HC219
DRB1_401	0	0	0	HC219
DRB1_1501	-0.480605303009569	0.0586671962335083	48.9	HC219
DQB1_201	0	0	0	HC219
DQB1_301	0	0	0	HC219
DQB1_602	0	0	0	HC219
DQB1_604	-0.266833468055732	0.0377655649421069	100	HC219
DQA1_102	0	0	0	HC219
DQA1_301	0.219647258239712	0.0152564128494457	100	HC219
DQA1_501	0.189544872861731	0.0162827043661081	100	HC219
DPA1_103	0.162950964941687	0.0147319708818813	100	HC219
B_702	0	0	0	HC221
B_801	0	0	0	HC221
C_701	0	0	0	HC221
C_702	0	0	0	HC221
DRB5_101	-0.0802866066195177	0.0171045535492876	28.1	HC221
DRB5_9901	0	0	0	HC221
DRB4_103	0	0	0	HC221
DRB4_9901	0	0	0	HC221
DRB3_202	-0.0578861429195692	0.0162678166408682	52.6	HC221
DRB1_301	0	0	0	HC221
